Date,Artist,Song,Genre,Day of the week
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Lavender Haze,Pop,Monday
11/14/2022,Taylor Swift,Anti-Hero,Pop,Monday
11/15/2022,Rina Sawayana,Minor Feelings,Alternative,Tuesday
11/15/2022,Rina Sawayana,Hold That Girl,Alternative,Tuesday
11/15/2022,Joji,Dissolve,Alternative,Tuesday
11/15/2022,Joji,Die For You,Alternative,Tuesday
11/15/2022,Rihanna,Lift Me Up,Pop,Tuesday
11/15/2022,Rihanna,Lift Me Up,Pop,Tuesday
11/15/2022,Post Malone,Wow.,Rap,Tuesday
11/15/2022,Post Malone,Wow.,Rap,Tuesday
11/15/2022,Post Malone,Wow.,Rap,Tuesday
11/15/2022,Post Malone,Wow.,Rap,Tuesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Post Malone,Wow.,Rap,Wednesday
11/16/2022,Taylor Swift,cardigan,Folk,Wednesday
11/16/2022,Taylor Swift,august,Folk,Wednesday
11/16/2022,Taylor Swift,hoax,Folk,Wednesday
11/17/2022,Taylor Swift,tis' the damn season,Folk,Thursday
11/17/2022,Taylor Swift,the 1,Folk,Thursday
11/17/2022,Taylor Swift,the last great american dynasty,Folk,Thursday
11/17/2022,Taylor Swift,gold rush,Folk,Thursday
11/17/2022,Taylor Swift,willow,Folk,Thursday
11/17/2022,Bad Bunny,Tití Me Preguntó,Latin,Thursday
11/17/2022,Bad Bunny,Tití Me Preguntó,Latin,Thursday
11/17/2022,Bad Bunny,Tití Me Preguntó,Latin,Thursday
11/17/2022,Bad Bunny,Tití Me Preguntó,Latin,Thursday
11/17/2022,Bad Bunny,Tití Me Preguntó,Latin,Thursday
11/18/2022,Bad Bunny,Tití Me Preguntó,Latin,Friday
11/18/2022,Bad Bunny,Tití Me Preguntó,Latin,Friday
11/18/2022,Bad Bunny,Tití Me Preguntó,Latin,Friday
11/18/2022,Bad Bunny,Tití Me Preguntó,Latin,Friday
11/18/2022,Bad Bunny,Tití Me Preguntó,Latin,Friday
11/18/2022,Bad Bunny,Tití Me Preguntó,Latin,Friday
11/18/2022,Taylor Swift,Question...?,Pop,Friday
11/18/2022,Taylor Swift,Karma,Pop,Friday
11/18/2022,Kacey Musgraves,Golden Hour,Country,Friday
11/18/2022,Kacey Musgraves,Golden Hour,Country,Friday
11/19/2022,Nessa Barrett,die first,Pop,Saturday
11/19/2022,Nessa Barrett,die first,Pop,Saturday
11/19/2022,Nessa Barrett,die first,Pop,Saturday
11/19/2022,Olivia Rodrigo,drivers license,Pop,Saturday
11/19/2022,Olivia Rodrigo,drivers license,Pop,Saturday
11/19/2022,Olivia Rodrigo,drivers license,Pop,Saturday
11/19/2022,Taylor Swift,Lavender Haze,Pop,Saturday
11/19/2022,Taylor Swift,Lavender Haze,Pop,Saturday
11/19/2022,Taylor Swift,Lavender Haze,Pop,Saturday
11/19/2022,Taylor Swift,Lavender Haze,Pop,Saturday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
11/20/2022,Taylor Swift,Lavender Haze,Pop,Sunday
